shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
relation/9233872,-8.5107718,115.261182,99,
relation/9233872,-8.5097882,115.2613893,100,
relation/9233872,-8.5095517,115.2614391,101,
relation/9233872,-8.5094293,115.2614815,102,
relation/9233872,-8.5080248,115.2620428,103,
relation/9233872,-8.5076568,115.2621693,104,
relation/9233872,-8.5075316,115.262225,105,
relation/9233872,-8.5071094,115.262402,106,
relation/9233872,-8.5068877,115.2624962,107,
relation/9233872,-8.5069846,115.2627236,108,
relation/9233872,-8.5071996,115.2632283,109,
relation/9233872,-8.5073204,115.2635048,110,
relation/9233872,-8.5073673,115.2636021,111,
relation/9233872,-8.5077902,115.2644788,112,
relation/9233872,-8.5080102,115.2649759,113,
relation/9233872,-8.5081892,115.2653427,114,
relation/9233872,-8.5084309,115.2652545,115,
relation/9233872,-8.5086354,115.2651844,116,
relation/9233872,-8.5100826,115.2648776,117,
relation/9233872,-8.5103666,115.264821,118,
relation/9233872,-8.5104235,115.2648097,119,
relation/9233872,-8.5104786,115.2647976,120,
relation/9233872,-8.5107123,115.2647479,121,
relation/9233872,-8.5108944,115.2647065,122,
relation/9233872,-8.5118476,115.264477,123,
relation/9233872,-8.5129264,115.2642585,124,
relation/9233872,-8.5131318,115.2642073,125,
relation/9233872,-8.5132909,115.2641566,126,
relation/9233872,-8.5137347,115.2640666,127,
relation/9233872,-8.5141158,115.26402,128,
